"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Grundpreis";"ext_Inhalt"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-supercrema-1kg%3Fnumber%3D4109001";"Espresso Agostino Supercrema 1kg";"ESPRESSO AGOSTINO Supercrema 90% Robusta, 10% Arabica";"";"16,90";"";"";"4039121000015";"4109001";"Espresso Agostino";"70109";"https://images.vinocentral.de/media/image/a7/a4/1d/Img1036_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 16,90";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-perfetto-1kg%3Fnumber%3D4109003";"Espresso Agostino Perfetto 1kg";"ESPRESSO AGOSTINO Perfetto 60% Arabica, 40% Robusta";"";"19,50";"";"";"4039121000022";"4109003";"Espresso Agostino";"70109";"https://images.vinocentral.de/media/image/fa/b8/98/Img1025_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 19,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-veneziano-250g%3Fnumber%3D4111001";"Espresso Agostino Veneziano 250g";"ESPRESSO AGOSTINO veneziano  feinherb, schokoladig, milde Säure 90% Arabica, 10% Robusta aus...";"";"7,00";"";"";"4111001";"4111001";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/52/07/31/Img105958506a83a9d8a_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-veneziano-1kg%3Fnumber%3D4111002";"Espresso Agostino Veneziano 1kg";"ESPRESSO AGOSTINO veneziano feinherb, schokoladig, milde Säure 90% Arabica, 10% Robusta aus dem H...";"";"25,50";"";"";"4111002";"4111002";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/92/0c/db/Img1039_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 25,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-fiorentino-250g%3Fnumber%3D4111003";"Espresso Agostino Fiorentino 250g";"ESPRESSO AGOSTINO fiorentino  fruchtig, blumig, säurearm 85 % Arabica, 15 % Robusta aus dem ...";"";"6,80";"";"";"4111003";"4111003";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/ee/db/69/Img1049_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 27,20";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-fiorentino-1kg%3Fnumber%3D4111004";"Espresso Agostino Fiorentino 1kg";"ESPRESSO AGOSTINO fiorentino  fruchtig, blumig, säurearm 85 % Arabica, 15 % Robusta aus dem ...";"";"24,70";"";"";"4111004";"4111004";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/35/38/47/Img1043_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 24,70";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-napoletano-250g%3Fnumber%3D4111005";"Espresso Agostino Napoletano 250g";"ESPRESSO AGOSTINO napoletano   kraftvoll, zartbitter 85 % Robusta 15 % Arabica  Durch d...";"";"6,50";"";"";"4111005";"4111005";"Espresso Agostino";"70112";"https://images.vinocentral.de/media/image/72/66/b3/Img1045_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 26,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-napoletano-1kg%3Fnumber%3D4111006";"Espresso Agostino Napoletano 1kg";"ESPRESSO AGOSTINO napoletano   kraftvoll, zartbitter 85 % Robusta 15 % Arabica  Durch d...";"";"23,50";"";"";"4111006";"4111006";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/5d/41/c3/Img1041_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 23,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-bellagio-koffeinfrei-1kg%3Fnumber%3D4111007";"Espresso Agostino Bellagio koffeinfrei 1kg";"ESPRESSO AGOSTINO bellagio   koffeinfrei, aromatisch, kräftig 100 % Arabica aus Kolumbien, e...";"";"25,50";"";"";" 4111007   ";"4111007";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/f9/ed/72/bild_espresso_agostino_bellagio_koffeinfrei_1kg_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 25,50";"1 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-bellagio-koffeinfrei-250g%3Fnumber%3D4111008";"Espresso Agostino Bellagio koffeinfrei 250g";"ESPRESSO AGOSTINO bellagio   koffeinfrei, aromatisch, kräftig 100 % Arabica aus Kolumbien, e...";"";"7,00";"";"";"";"4111008";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/51/bf/ed/Img1053_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,00";"0.25 kg"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fespresso-agostino-guatemala-lampocoy-arabica-250g%3Fnumber%3D4111015";"Espresso Agostino Cento per cento: Guatemala Lampocoy Arabica 250g";"ESPRESSO AGOSTINO cento per cento: Guatemala Lampocoy  vollmundig kräftig, Aromen von Schoko...";"";"7,20";"";"";"";"4111015";"Espresso Agostino";"0";"https://images.vinocentral.de/media/image/f8/1b/36/Img1090_1280x1280.jpg";"";"Kaffee";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 kg = 28,80";"0.25 kg"
